Аварийность,Адрес,Безопасность,Газоснабжение,Год постройки,Жилая,Инфраструктура,Кухня,Лифты,Метро 0,Метро 1,Метро 2,Мусоропровод,Название,Общая,Отопление,Отрицательное соседство,Парковка,Подъезды,Положительное соседство,Построен,Срок сдачи,Строительная серия,Тип дома,Тип перекрытий,Транспорт,Цена,Цена за квадрат,Экология,Этаж
Нет,"Москва, ЦАО, р-н Хамовники, 3-я Фрунзенская ул., 19",,,2006,38 м²,,17 м²,"5 пассажирских, 4 грузовых", ⋅  5 мин. пешком, ⋅  11 мин. пешком, ⋅  8 мин. пешком,Есть,"2-комн. квартира, 95,9 м²","95,9 м²",Центральное,,Подземная,4,,,,,Монолитный,Железобетонные,,57500000,599 583,,3 из 9
Нет,"Москва, ЦАО, р-н Тверской, ул. Охотный Ряд, 2",,,2015,,,,Нет,,,,,"4-комн. апартаменты, 207,9 м²","207,9 м²",,,Подземная,,,,,,Монолитный,,,251559000,1 210 000,,5 из 15
,"Москва, ЦАО, р-н Хамовники, Малая Пироговская ул., 8",,,,,,,, ⋅  10 мин. пешком, ⋅  14 мин. пешком, ⋅  17 мин. пешком,,"2-комн. квартира, 73 м²",73 м²,,,,,,2015,,,,,,58000000,794 521,,3 из 7
,"Москва, СЗАО, р-н Щукино, ул. Маршала Рыбалко, 2к9",,,,30 м²,,10 м²,, ⋅  5 мин. пешком, ⋅  1 мин. пешком, ⋅  21 мин. пешком,,"2-комн. апартаменты, 61,25 м²","61,25 м²",,,,,,2010,,,,,,16866643,275 374,,5 из 9
Нет,"Москва, ЦАО, р-н Тверской, ул. Охотный Ряд, 2",,,2015,,,,"1 пассажирский, 1 грузовой", ⋅  2 мин. пешком, ⋅  1 мин. пешком, ⋅  5 мин. пешком,Есть,"Многокомнатные апартаменты, 360 м²",360 м²,,,Подземная,,,,,,Монолитный,,,560395250,1 556 653,,9 из 11
,"Москва, СЗАО, р-н Щукино, ул. Маршала Рыбалко, 2к4",,,,40 м²,,"18,8 м²",, ⋅  5 мин. пешком, ⋅  1 мин. пешком, ⋅  21 мин. пешком,,"2-комн. квартира, 89,92 м²","89,92 м²",,,,,,2011,,,,,,28570768,317 735,,10 из 18
,"Москва, ЮАО, р-н Даниловский, Автозаводская ул., 23С928",,,,,,,1 пассажирский, ⋅  10 мин. пешком, ⋅  15 мин. пешком, ⋅  20 мин. пешком,,"2-комн. апартаменты, 43 м²",43 м²,,,Наземная,,,1976,,,,,,5900000,137 209,,3 из 4
Нет,"Москва, ВАО, р-н Богородское, 3-я Гражданская ул., 3А",,,2009,35 м²,,10 м²,"1 пассажирский, 1 грузовой", ⋅  10 мин. на транспорте, ⋅  10 мин. на транспорте,,Есть,"2-комн. квартира, 75 м²",75 м²,Центральное,,,3,,,,,,Железобетонные,,19200000,256 000,,8 из 22
Нет,"Москва, СЗАО, р-н Щукино, ул. Академика Бочвара, 7К2",,,1982,,,"8,5 м²",2 пассажирских, ⋅  5 мин. пешком,,,Есть,"1-комн. квартира, 39 м²",39 м²,Центральное,,,2,,1982,,П-47,Панельный,Железобетонные,,10000000,256 410,,2 из 12
Нет,"Московская область, Ленинский городской округ, Дрожжино рп, ул. Южная, 23к2",,,2015,38 м²,,10 м²,1 пассажирский, ⋅  10 мин. на транспорте,,,Есть,"2-комн. квартира, 60 м²",60 м²,Индивидуальный тепловой пункт,,,7,,2015,,П-3М,Панельный,Железобетонные,,6850000,114 167,,8 из 20
