Адрес,Жилая,Кухня,Общая,Цена,Цена за квадрат,Этаж,Этажность здания,Время,Способ передвижения,Координаты
"Москва, САО, р-н Головинский, Головинское ш., 11Б",30.3,16.0,61.7,12216600.0,198000.0,16,22,6.0,пешком,"(55.839598, 37.495015, 0.0)"
"Москва, САО, р-н Головинский, Головинское ш., 11Б",27.8,12.8,57.5,11212500.0,195000.0,17,20,6.0,пешком,"(55.839598, 37.495015, 0.0)"
"Москва, СВАО, р-н Отрадное, Алтуфьевское ш., 2К1",,,21.0,3570000.0,170000.0,13,16,3.0,пешком,"(55.848958, 37.587245, 0.0)"
"Москва, ЮВАО, р-н Люблино, Ставропольский проезд, 13",21.0,10.0,40.0,6350000.0,158750.0,8,22,7.0,на транспорте,"(55.67823, 37.79958, 0.0)"
"Москва, ЗАО, р-н Филевский парк, Большая Филевская ул., 4",19.0,7.0,31.0,9400000.0,303226.0,2,16,5.0,на транспорте,"(55.753686, 37.513143, 0.0)"
"Москва, ЗАО, р-н Раменки, Воробьевское ш., 4",37.0,,47.0,28200000.0,600000.0,7,16,10.0,на транспорте,"(55.727693, 37.535359, 0.0)"
"Москва, ЗАО, р-н Раменки, ул. Лобачевского, 118к2",17.5,11.4,46.0,10810000.0,235000.0,10,23,12.0,пешком,"(55.694449, 37.470581, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Льва Толстого, 23/7кД",,,105.9,106096319.0,1001854.0,3,7,10.0,пешком,"(55.734993, 37.583104, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, Профсоюзная ул., 64к2",,15.0,81.1,26000000.0,320592.0,35,40,7.0,пешком,"(55.665594, 37.547594, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Льва Толстого, 23/7кГ",,,98.0,88000000.0,897959.0,3,7,10.0,пешком,"(55.734744, 37.583472, 0.0)"
"Москва, ЦАО, р-н Красносельский, пер. Докучаев, 2с3",,,57.0,24000000.0,421053.0,9,17,11.0,пешком,"(55.774548, 37.641566, 0.0)"
"Москва, ЦАО, р-н Мещанский, ул. Советской Армии, 6",40.0,7.0,56.7,43000000.0,758377.0,11,14,9.0,пешком,"(55.786597, 37.617563, 0.0)"
"Москва, САО, р-н Хорошевский, Ленинградский просп., 37",30.0,10.0,48.0,15599000.0,324979.0,13,40,8.0,пешком,"(55.792108, 37.540748, 0.0)"
"Москва, ЦАО, р-н Тверской, ул. Большая Дмитровка, 9С1",60.0,20.0,85.5,96682053.0,1130784.0,3,5,5.0,пешком,"(55.761355, 37.614294, 0.0)"
